,Unnamed: 0,image_id,melanoma,seborrheic_keratosis,colorRGB_1,occurence_of_colour_percent_1,colorRGB_2,occurence_of_colour_percent_2,colorRGB_3,occurence_of_colour_percent_3,colorRGB_4,occurence_of_colour_percent_4,colorRGB_5,occurence_of_colour_percent_5,adjusted_bool,adjusted_percent2,adjusted_percent3,adjusted_percent4,adjusted_percent5
0,0,ISIC_0001769,0.0,0.0,"180,131,103",0.5926135886453346,"170,111,78",0.8776350046191317,"147,78,47",0.9624065675652976,"159,93,61",1.1852271772906693,"0,0,0",96.38211766187956,1.0,16.38012332245192,24.258251722887167,26.601378309756942,32.76024664490384
1,1,ISIC_0001852,0.0,0.0,"144,79,44",0.3335747879398673,"163,109,80",0.4249076173679348,"120,49,23",0.43488074242042496,"87,27,15",0.9894389854707316,"0,0,0",97.81719786680105,1.0,15.281952627149288,19.466153661176,19.923049176385817,45.3288445352894
2,2,ISIC_0001871,0.0,0.0,"171,115,75",0.5175527000923826,"184,138,106",0.8652998236331569,"189,151,129",0.926188376585202,"179,127,91",1.109116486100613,"0,0,0",96.58184261358863,1.0,15.141277641277592,25.314803439803356,27.09613022113013,32.44778869778859
3,3,ISIC_0003462,0.0,0.0,"162,105,69",0.4965566473502982,"172,128,100",0.5304127823969094,"180,150,132",0.8235701688082641,"149,84,48",0.8437788695725204,"0,0,0",97.30568153187201,1.0,18.4297681667641,19.686343269043466,30.56691992986561,31.316968634326937
4,4,ISIC_0003539,0.0,0.0,"113,36,17",0.6369677500629882,"152,72,32",1.1374611573024271,"173,106,64",1.3395481649449903,"182,129,93",2.1547199126564207,"0,0,0",94.73130301503319,1.0,12.08966376089668,21.589041095890483,25.42465753424666,40.896637608966515
5,5,ISIC_0003582,0.0,0.0,"145,90,60",2.1366108171663725,"165,122,98",3.241528092718569,"112,52,34",5.051912740404804,"80,36,29",7.312400268749474,"0,0,0",82.25754808096077,1.0,12.04236498380249,18.269899264825522,28.4735884502167,41.21414730115526
6,6,ISIC_0003657,0.0,0.0,"164,113,82",0.9398358108675571,"169,126,103",1.0791971109431426,"149,84,47",1.1925757957503993,"157,99,65",2.44157848324515,"0,0,0",94.34681279919373,1.0,16.624883936861586,19.090064995357395,21.09563602599806,43.189415041782546
7,7,ISIC_0003805,0.0,0.0,"138,67,37",0.3868522717729067,"179,127,97",0.5787037037037037,"167,105,72",0.6222705131435289,"155,87,55",0.6939195431258923,"0,0,0",97.71825396825396,1.0,16.954221302047337,25.362318840579633,27.271681619507618,30.411778237865104
8,8,ISIC_0004337,0.0,0.0,"146,78,34",0.6141345427059712,"163,109,74",0.809397833207357,"155,92,50",0.8889203829680021,"168,121,93",1.1524208448811624,"0,0,0",96.5351263962375,1.0,17.724587183760004,23.360096955006778,25.655203757006472,33.26011210422658
9,9,ISIC_0006651,0.0,0.0,"181,131,98",1.0217204165616864,"169,107,63",1.6219450743260266,"188,152,130",1.8786218190980095,"158,87,40",2.539997480473671,"0,0,0",92.9377152095406,1.0,14.467278605670952,22.966293805046615,26.60076554312681,35.96566204615553
10,10,ISIC_0006671,0.0,0.0,"163,113,89",0.4994436046023348,"177,140,128",0.6584887041236247,"169,123,101",0.8600508104476358,"174,131,114",0.8781599059376838,"0,0,0",97.10385697488873,1.0,17.245129134571865,22.736746714997793,29.69642048029006,30.321703670140547
11,11,ISIC_0006815,0.0,0.0,"183,113,79",0.24198704511152105,"187,123,95",0.2947866007043434,"190,133,112",0.30932940633909106,"194,142,129",0.3985514841522724,"0,0,0",98.75534546369276,1.0,19.442105263157746,23.684210526315606,24.85263157894718,32.021052631578705
12,12,ISIC_0006914,0.0,0.0,"156,100,61",1.6544889560762577,"166,121,88",3.135235575711766,"175,149,131",3.355169228185101,"172,136,110",3.3766901822457376,"0,0,0",88.47841605778116,1.0,14.359908883826908,27.211845102505748,29.12072892938502,29.307517084282516
13,13,ISIC_0007141,0.0,0.0,"170,126,98",2.597736625514403,"158,102,68",3.153082220542538,"147,84,49",5.228279583438313,"178,148,129",5.592561098513478,"0,0,0",83.42834047199126,1.0,15.675778404231728,19.026955117037783,31.54952329669633,33.747743182034135
14,14,ISIC_0007156,0.0,0.0,"158,74,42",1.1597694633408921,"210,137,97",1.2500524901318553,"226,170,138",1.9208763752414548,"184,100,62",2.0539388594944152,"0,0,0",93.6153628117914,1.0,18.165001849796575,19.57906852468456,30.085912771817405,32.17001685370173
15,15,ISIC_0007235,0.0,0.0,"174,112,64",1.1847801022975013,"142,68,39",1.2606385208787525,"183,136,93",1.6906339091061546,"162,88,49",1.8766770082173403,"0,0,0",93.98727045950024,1.0,19.704530102629985,20.966160416621225,28.117577844115594,31.211731636632965
16,16,ISIC_0007241,0.0,0.0,"137,76,35",0.9876018308557992,"152,101,61",1.1490089863105737,"165,128,97",1.3214390694549425,"173,149,129",2.299592676576804,"0,0,0",94.24235743680187,1.0,17.152885404321232,19.95624031361104,22.95104385085235,39.93983043121516
17,17,ISIC_0007332,0.0,0.0,"143,66,33",0.9408856135046612,"206,158,136",2.4323927101704883,"176,102,64",2.61925757957504,"191,129,95",2.7943121693121693,"0,0,0",91.21315192743765,1.0,10.70788530465951,27.682198327359647,29.80884109916371,31.801075268817236
18,18,ISIC_0007344,0.0,0.0,"117,50,26",1.631655748719241,"165,120,94",2.054988662131519,"153,97,65",2.0741475602586714,"136,73,41",2.901916939615353,"0,0,0",91.33729108927523,1.0,18.83539855182236,23.72224073681343,23.94340594419368,33.498954767170645
19,19,ISIC_0007528,0.0,0.0,"169,96,52",0.5254262198706643,"177,112,74",0.5939258419417149,"184,129,100",0.6582262534643487,"187,142,119",0.992325942722768,"0,0,0",97.2300957420005,1.0,18.969111237445492,21.442107257911665,23.763501989766883,35.825279514875824
20,20,ISIC_0007796,0.0,0.0,"165,124,102",0.9574200050390528,"143,80,44",0.9742168472327204,"156,103,71",1.3319370958259846,"171,145,135",1.399649365919207,"0,0,0",95.33677668598305,1.0,20.53129221071598,20.89149031967591,28.562584421431904,30.014633048176616
21,21,ISIC_0008025,0.0,0.0,"160,98,51",2.095406063660032,"174,126,92",2.22794364659444,"178,141,115",2.6452401948433693,"168,112,70",3.443615100361132,"0,0,0",89.58779499454103,1.0,20.124517934111363,21.39742394071535,25.405187407052658,33.07287071812064
22,22,ISIC_0008524,0.0,0.0,"180,115,64",0.2934764380345464,"191,139,96",0.7613355274190843,"195,150,115",0.7832152440046956,"187,130,82",0.8523918329699817,"0,0,0",97.3095809575717,1.0,10.90820550280012,28.29802775748727,29.111273435597813,31.68249330411499
23,23,ISIC_0009995,0.0,0.0,"0,0,0",7.309977213541668,"176,176,163",17.366536458333336,"171,155,130",20.438639322916664,"153,115,80",25.01627604166667,"164,137,104",29.86857096354167,0.0,,,,
24,24,ISIC_0010459,0.0,0.0,"173,170,167",6.345621744791668,"156,140,137",13.126627604166664,"129,99,103",23.787434895833336,"141,116,118",25.41097005208333,"0,0,0",31.329345703125,1.0,9.240660089473531,19.115337895890733,34.63988386217522,37.004118152460514
25,25,ISIC_0012099,1.0,0.0,"172,104,84",0.2710106382978723,"188,144,133",0.3151595744680851,"138,63,46",0.3215425531914894,"86,34,30",0.5978723404255321,"0,0,0",98.49441489361702,1.0,18.000353294470916,20.932697403285612,21.35665076841545,39.7102985338279
26,26,ISIC_0012109,0.0,0.0,"166,131,104",0.3558510638297873,"149,97,68",0.4380319148936169,"117,65,46",0.6015957446808511,"79,44,36",0.7867021276595745,"0,0,0",97.81781914893615,1.0,16.307129798902977,20.073126142595807,27.568555758683505,36.05118829981689
27,27,ISIC_0012126,0.0,0.0,"173,135,108",0.22845744680851066,"158,100,67",0.2901595744680851,"100,41,22",0.3335106382978724,"133,68,39",0.4303191489361702,"0,0,0",98.71755319148936,1.0,17.814184985483156,22.62546661136452,26.005806719203587,33.55454168394848
28,28,ISIC_0012127,0.0,0.0,"83,28,23",0.28537234042553195,"117,49,39",0.4409574468085107,"149,96,76",0.5077127659574467,"137,75,57",0.5787234042553191,"0,0,0",98.1872340425532,1.0,15.742370892018858,24.325117370892137,28.00762910798135,31.924882629108133
29,29,ISIC_0012143,0.0,1.0,"95,50,38",1.2103723404255318,"116,72,63",3.652127659574468,"126,88,82",6.69281914893617,"133,101,98",7.260638297872339,"0,0,0",81.18404255319147,1.0,6.4326906767682415,19.409735964267526,35.569910103465794,38.58766325549835
30,30,ISIC_0012151,1.0,0.0,"134,69,42",4.2992021276595755,"168,133,101",5.5175531914893625,"160,111,76",7.214893617021277,"150,90,58",9.017021276595743,"0,0,0",73.95132978723404,1.0,16.50449751386011,21.181707727964227,27.697742564552854,34.61605219362282
31,31,ISIC_0012159,0.0,0.0,"166,115,98",0.7465425531914893,"170,139,130",1.108776595744681,"167,126,112",1.6582446808510638,"168,131,121",2.0263297872340424,"0,0,0",94.46010638297872,1.0,13.475756120979353,20.014402304368694,29.9327892462794,36.57705232837253
32,32,ISIC_0012160,0.0,0.0,"167,120,91",0.2194148936170213,"172,133,106",0.5132978723404256,"174,141,115",0.5430851063829787,"175,147,124",0.5922872340425531,"0,0,0",98.13191489361702,1.0,11.74544419134397,27.477220956719837,29.07175398633259,31.705580865603658
33,33,ISIC_0012191,0.0,0.0,"125,71,44",0.8601063829787234,"63,27,17",0.9074468085106382,"97,45,26",0.9279255319148936,"141,94,66",1.0340425531914894,"0,0,0",96.27047872340424,1.0,23.062112244170187,24.331455466019996,24.88055337659548,27.72587891321388
34,34,ISIC_0012201,0.0,0.0,"156,109,80",1.0933510638297872,"142,80,46",1.1718085106382978,"121,52,24",1.8492021276595745,"99,35,15",1.968617021276596,"0,0,0",93.91702127659576,1.0,17.97394193774052,19.26372857642538,30.39961525008753,32.362714235746864
35,35,ISIC_0012204,0.0,1.0,"128,43,19",0.07287234042553191,"151,82,51",0.15345744680851064,"164,103,76",1.0023936170212766,"169,112,88",1.6707446808510638,"0,0,0",97.10053191489362,1.0,2.513300311869386,5.2926068611264085,34.57163823151721,57.62245459548717
36,36,ISIC_0012206,0.0,0.0,"109,51,25",1.5154255319148937,"140,78,41",2.8595744680851065,"155,102,64",2.9744680851063836,"164,124,89",3.2242021276595736,"0,0,0",89.42632978723404,1.0,14.332067308901573,27.04429408657594,28.130895188268727,30.49274341625372
37,37,ISIC_0012210,0.0,1.0,"180,129,95",1.1101063829787234,"186,151,125",3.360372340425532,"184,138,108",3.429787234042553,"185,145,117",5.376063829787233,"0,0,0",86.72367021276597,1.0,8.361545704040552,25.31100382619846,25.833850838358156,40.493599631402894
38,38,ISIC_0012221,0.0,0.0,"148,98,87",0.7351063829787234,"136,72,58",0.7981382978723405,"96,33,31",0.8303191489361702,"119,49,40",0.926063829787234,"0,0,0",96.71037234042555,1.0,22.34618805077222,24.262268574662603,25.24052065648005,28.151022718085695
