,image_id,melanoma,seborrheic_keratosis,RGB1,RGB2,RGB3,RGB4,RGB1_occ,RGB2_occ,RGB3_occ,RGB4_occ,RGB1html,RGB2html,RGB3html,RGB4html,help_int_for_colors,border_diff_percent,image_symmetry,area,perimeter
0,ISIC_0001769,0.0,0.0,"180,131,103","170,111,78","147,78,47","159,93,61",16,24,26,32,#b48367,#aa6f4e,#934e2f,#9f5d3d,healthy,1.1751662971175163,1.0983839460131417,216160.0,2013.0
1,ISIC_0001852,0.0,0.0,"144,79,44","163,109,80","120,49,23","87,27,15",15,19,19,45,#904f2c,#a36d50,#783117,#571b0f,healthy,1.1422902494331066,1.1268163804491411,130493.0,1372.0
2,ISIC_0001871,0.0,0.0,"171,115,75","184,138,106","189,151,129","179,127,91",15,25,27,32,#ab734b,#b88a6a,#bd9781,#b37f5b,healthy,1.0596553247901015,1.0706887152462294,205116.0,1720.0
3,ISIC_0003462,0.0,0.0,"162,105,69","172,128,100","180,150,132","149,84,48",18,19,30,31,#a26945,#ac8064,#b49684,#955430,healthy,1.1670506912442395,1.0878926038500507,161705.0,1344.0
4,ISIC_0003539,0.0,0.0,"113,36,17","152,72,32","173,106,64","182,129,93",12,21,25,40,#712411,#984820,#ad6a40,#b6815d,healthy,1.1712626995645865,1.0712563298770197,317040.0,2063.0
5,ISIC_0003582,0.0,0.0,"145,90,60","165,122,98","112,52,34","80,36,29",12,18,28,41,#915a3c,#a57a62,#703422,#50241d,healthy,1.2345530893821235,1.0895788836112086,1074487.0,3566.0
6,ISIC_0003657,0.0,0.0,"164,113,82","169,126,103","149,84,47","157,99,65",16,19,21,43,#a47152,#a97e67,#95542f,#9d6341,healthy,1.3381245722108146,1.064294561423263,340261.0,2342.0
7,ISIC_0003805,0.0,0.0,"138,67,37","179,127,97","167,105,72","155,87,55",16,25,27,30,#8a4325,#b37f61,#a76948,#9b5737,healthy,1.0694815606627472,1.1160782321564644,136235.0,1414.0
8,ISIC_0004337,0.0,0.0,"146,78,34","163,109,74","155,92,50","168,121,93",17,23,25,33,#924e22,#a36d4a,#9b5c32,#a8795d,healthy,1.2175516224188792,1.0488233227959256,208243.0,1514.0
9,ISIC_0006651,0.0,0.0,"181,131,98","169,107,63","188,152,130","158,87,40",14,22,26,35,#b58362,#a96b3f,#bc9882,#9e5728,healthy,1.11352133044107,1.0508946322067594,426141.0,2116.0
10,ISIC_0006671,0.0,0.0,"163,113,89","177,140,128","169,123,101","174,131,114",17,22,29,30,#a37159,#b18c80,#a97b65,#ae8372,healthy,1.0857317819963257,1.0675045611189946,173787.0,1359.0
